class,feature,mean_abs_shap
정상,V_segment,0.21331562
정상,speed_last_10min,0.10740435
정상,speed_ma_30min,0.74238515
정상,speed_ma_1h,0.29973114
정상,speed_change_rate,0.054371055
정상,hour,0.22866999
정상,dow,0.08192741
정상,is_weekend,0.011065658
정상,is_bottleneck_slot,0.035551168
정상,betweenness_pre,0.13074268
정상,betweenness_during,0.103203945
정상,road_rank,0.03530198
정상,lanes,0.02535835
정상,lane_remain_ratio,0.17620258
정상,incident_flag,0.0024407906
정상,incident_count,0.00065476313
정상,precipitation_mm,0.008946731
정상,is_weather_alert,0.0006420497
정상,is_freezing,0.01473005
정상,y_hat_t30,0.26183146
정상,y_hat_lower_t30,0.21199574
정상,y_hat_upper_t30,0.17686239
주의,V_segment,0.090444796
주의,speed_last_10min,0.12785734
주의,speed_ma_30min,0.4678764
주의,speed_ma_1h,0.18929546
주의,speed_change_rate,0.030839186
주의,hour,0.12121252
주의,dow,0.031638738
주의,is_weekend,0.0042257397
주의,is_bottleneck_slot,0.02078931
주의,betweenness_pre,0.10515028
주의,betweenness_during,0.06997107
주의,road_rank,0.021439284
주의,lanes,0.020524794
주의,lane_remain_ratio,0.121703
주의,incident_flag,0.0005176299
주의,incident_count,0.0003375054
주의,precipitation_mm,0.0031120027
주의,is_weather_alert,0.00053316244
주의,is_freezing,0.006987654
주의,y_hat_t30,0.22431587
주의,y_hat_lower_t30,0.21375938
주의,y_hat_upper_t30,0.067246966
심각,V_segment,0.12116395
심각,speed_last_10min,0.29541752
심각,speed_ma_30min,0.6628252
심각,speed_ma_1h,0.23255716
심각,speed_change_rate,0.06700178
심각,hour,0.2855449
심각,dow,0.105492525
심각,is_weekend,0.0155819515
심각,is_bottleneck_slot,0.079710364
심각,betweenness_pre,0.20889832
심각,betweenness_during,0.17002882
심각,road_rank,0.04571796
심각,lanes,0.05291069
심각,lane_remain_ratio,0.3273317
심각,incident_flag,0.003095272
심각,incident_count,0.000435509
심각,precipitation_mm,0.016706973
심각,is_weather_alert,0.0010041912
심각,is_freezing,0.02588089
심각,y_hat_t30,0.19386983
심각,y_hat_lower_t30,0.28781977
심각,y_hat_upper_t30,0.10323577
